<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;11/01/10;00:00:00;192.5500000;196.9000000;191.0000000;194.5000000;59465172
GAZP;D;12/01/10;00:00:00;194.1000000;195.8000000;190.5500000;191.8000000;43441242
GAZP;D;13/01/10;00:00:00;189.8000000;191.8600000;188.3000000;189.3000000;52375480
GAZP;D;14/01/10;00:00:00;191.1900000;191.4600000;188.8800000;190.8300000;41093689
GAZP;D;15/01/10;00:00:00;190.0000000;192.1000000;187.2500000;187.8600000;55517101
GAZP;D;18/01/10;00:00:00;186.9700000;190.5000000;186.6000000;190.4000000;36485483
GAZP;D;19/01/10;00:00:00;190.1400000;190.4700000;187.3600000;189.7600000;48577626
GAZP;D;20/01/10;00:00:00;189.2000000;189.9000000;185.8200000;185.9800000;46820582
GAZP;D;21/01/10;00:00:00;187.1600000;187.1900000;182.3000000;182.7600000;62742166
GAZP;D;22/01/10;00:00:00;181.4900000;183.0000000;178.5100000;181.5000000;62766728
GAZP;D;25/01/10;00:00:00;179.0000000;184.3900000;178.9400000;182.8500000;48596806
GAZP;D;26/01/10;00:00:00;180.0100000;182.5000000;177.1000000;181.2900000;58930064
GAZP;D;27/01/10;00:00:00;180.7000000;183.9500000;178.0000000;182.0100000;66478271
GAZP;D;28/01/10;00:00:00;183.7500000;185.9800000;181.6700000;182.3000000;62483023
GAZP;D;29/01/10;00:00:00;180.5200000;186.4700000;179.9000000;186.4400000;58421953
GAZP;D;01/02/10;00:00:00;184.7500000;190.4000000;183.5000000;189.8500000;76241424
GAZP;D;02/02/10;00:00:00;191.2900000;192.6800000;190.0200000;192.2100000;66786962
GAZP;D;03/02/10;00:00:00;194.0000000;195.2700000;192.3000000;192.7000000;74612152
GAZP;D;04/02/10;00:00:00;192.6400000;193.3900000;185.7800000;186.5900000;72596540
GAZP;D;05/02/10;00:00:00;183.0400000;185.1400000;178.4200000;182.3100000;103157127
GAZP;D;08/02/10;00:00:00;181.8000000;184.3500000;174.6500000;175.3100000;90280526
GAZP;D;09/02/10;00:00:00;176.9800000;178.4400000;173.2800000;174.9100000;85445175
