<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.GAZR-9.20;10;15/06/20;10:10:00;18571.0000000;18571.0000000;18217.0000000;18330.0000000;1563
SPFB.GAZR-9.20;10;15/06/20;10:20:00;18330.0000000;18419.0000000;18330.0000000;18401.0000000;792
SPFB.GAZR-9.20;10;15/06/20;10:30:00;18410.0000000;18425.0000000;18365.0000000;18387.0000000;566
SPFB.GAZR-9.20;10;15/06/20;10:40:00;18397.0000000;18420.0000000;18374.0000000;18412.0000000;150
SPFB.GAZR-9.20;10;15/06/20;10:50:00;18430.0000000;18439.0000000;18396.0000000;18397.0000000;225
SPFB.GAZR-9.20;10;15/06/20;11:00:00;18401.0000000;18413.0000000;18351.0000000;18400.0000000;159
SPFB.GAZR-9.20;10;15/06/20;11:10:00;18403.0000000;18465.0000000;18401.0000000;18414.0000000;308
SPFB.GAZR-9.20;10;15/06/20;11:20:00;18413.0000000;18607.0000000;18410.0000000;18572.0000000;464
SPFB.GAZR-9.20;10;15/06/20;11:30:00;18583.0000000;18623.0000000;18563.0000000;18582.0000000;296
SPFB.GAZR-9.20;10;15/06/20;11:40:00;18594.0000000;18636.0000000;18586.0000000;18606.0000000;264
SPFB.GAZR-9.20;10;15/06/20;11:50:00;18607.0000000;18650.0000000;18607.0000000;18641.0000000;471
SPFB.GAZR-9.20;10;15/06/20;12:00:00;18650.0000000;18710.0000000;18644.0000000;18644.0000000;289
SPFB.GAZR-9.20;10;15/06/20;12:10:00;18648.0000000;18649.0000000;18534.0000000;18546.0000000;198
SPFB.GAZR-9.20;10;15/06/20;12:20:00;18533.0000000;18589.0000000;18525.0000000;18589.0000000;65
SPFB.GAZR-9.20;10;15/06/20;12:30:00;18600.0000000;18627.0000000;18588.0000000;18627.0000000;176
SPFB.GAZR-9.20;10;15/06/20;12:40:00;18631.0000000;18639.0000000;18594.0000000;18598.0000000;334
SPFB.GAZR-9.20;10;15/06/20;12:50:00;18596.0000000;18643.0000000;18596.0000000;18643.0000000;114
SPFB.GAZR-9.20;10;15/06/20;13:00:00;18641.0000000;18697.0000000;18641.0000000;18679.0000000;240
