<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.SBRF-9.20;10;15/06/20;10:10:00;20850.0000000;20850.0000000;20455.0000000;20523.0000000;3060
SPFB.SBRF-9.20;10;15/06/20;10:20:00;20524.0000000;20584.0000000;20522.0000000;20562.0000000;871
SPFB.SBRF-9.20;10;15/06/20;10:30:00;20552.0000000;20651.0000000;20550.0000000;20622.0000000;389
SPFB.SBRF-9.20;10;15/06/20;10:40:00;20622.0000000;20640.0000000;20586.0000000;20639.0000000;430
SPFB.SBRF-9.20;10;15/06/20;10:50:00;20640.0000000;20642.0000000;20597.0000000;20605.0000000;164
SPFB.SBRF-9.20;10;15/06/20;11:00:00;20600.0000000;20695.0000000;20594.0000000;20652.0000000;346
SPFB.SBRF-9.20;10;15/06/20;11:10:00;20667.0000000;20724.0000000;20661.0000000;20670.0000000;595
SPFB.SBRF-9.20;10;15/06/20;11:20:00;20678.0000000;20814.0000000;20657.0000000;20782.0000000;541
SPFB.SBRF-9.20;10;15/06/20;11:30:00;20782.0000000;20837.0000000;20759.0000000;20772.0000000;825
SPFB.SBRF-9.20;10;15/06/20;11:40:00;20787.0000000;20809.0000000;20761.0000000;20763.0000000;591
SPFB.SBRF-9.20;10;15/06/20;11:50:00;20760.0000000;20808.0000000;20760.0000000;20766.0000000;119
SPFB.SBRF-9.20;10;15/06/20;12:00:00;20765.0000000;20811.0000000;20765.0000000;20811.0000000;376
SPFB.SBRF-9.20;10;15/06/20;12:10:00;20808.0000000;20811.0000000;20680.0000000;20680.0000000;1218
SPFB.SBRF-9.20;10;15/06/20;12:20:00;20678.0000000;20703.0000000;20656.0000000;20700.0000000;467
SPFB.SBRF-9.20;10;15/06/20;12:30:00;20696.0000000;20731.0000000;20683.0000000;20729.0000000;292
SPFB.SBRF-9.20;10;15/06/20;12:40:00;20738.0000000;20780.0000000;20727.0000000;20756.0000000;531
SPFB.SBRF-9.20;10;15/06/20;12:50:00;20770.0000000;20788.0000000;20755.0000000;20759.0000000;542
SPFB.SBRF-9.20;10;15/06/20;13:00:00;20753.0000000;20811.0000000;20721.0000000;20797.0000000;2116
SPFB.SBRF-9.20;10;15/06/20;13:10:00;20797.0000000;20816.0000000;20734.0000000;20741.0000000;1544
SPFB.SBRF-9.20;10;15/06/20;13:20:00;20746.0000000;20779.0000000;20703.0000000;20705.0000000;484
SPFB.SBRF-9.20;10;15/06/20;13:30:00;20705.0000000;20718.0000000;20687.0000000;20687.0000000;215
SPFB.SBRF-9.20;10;15/06/20;13:40:00;20683.0000000;20706.0000000;20663.0000000;20669.0000000;348
SPFB.SBRF-9.20;10;15/06/20;13:50:00;20660.0000000;20699.0000000;20652.0000000;20663.0000000;578
SPFB.SBRF-9.20;10;15/06/20;14:00:00;20663.0000000;20665.0000000;20619.0000000;20627.0000000;906
SPFB.SBRF-9.20;10;15/06/20;14:10:00;20634.0000000;20672.0000000;20627.0000000;20668.0000000;170
