<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.VTBR-9.20;10;15/06/20;10:10:00;3655.0000000;3656.0000000;3628.0000000;3639.0000000;698
SPFB.VTBR-9.20;10;15/06/20;10:20:00;3638.0000000;3650.0000000;3633.0000000;3649.0000000;475
SPFB.VTBR-9.20;10;15/06/20;10:30:00;3646.0000000;3660.0000000;3640.0000000;3652.0000000;309
SPFB.VTBR-9.20;10;15/06/20;10:40:00;3650.0000000;3680.0000000;3649.0000000;3662.0000000;334
SPFB.VTBR-9.20;10;15/06/20;10:50:00;3664.0000000;3669.0000000;3658.0000000;3658.0000000;191
SPFB.VTBR-9.20;10;15/06/20;11:00:00;3655.0000000;3668.0000000;3655.0000000;3666.0000000;27
SPFB.VTBR-9.20;10;15/06/20;11:10:00;3667.0000000;3681.0000000;3667.0000000;3680.0000000;516
SPFB.VTBR-9.20;10;15/06/20;11:20:00;3676.0000000;3686.0000000;3676.0000000;3680.0000000;52
SPFB.VTBR-9.20;10;15/06/20;11:30:00;3680.0000000;3687.0000000;3680.0000000;3683.0000000;12
SPFB.VTBR-9.20;10;15/06/20;11:40:00;3679.0000000;3687.0000000;3679.0000000;3681.0000000;75
SPFB.VTBR-9.20;10;15/06/20;11:50:00;3682.0000000;3686.0000000;3680.0000000;3680.0000000;137
SPFB.VTBR-9.20;10;15/06/20;12:00:00;3679.0000000;3680.0000000;3677.0000000;3677.0000000;56
SPFB.VTBR-9.20;10;15/06/20;12:10:00;3675.0000000;3677.0000000;3670.0000000;3670.0000000;98
SPFB.VTBR-9.20;10;15/06/20;12:20:00;3670.0000000;3677.0000000;3667.0000000;3675.0000000;122
SPFB.VTBR-9.20;10;15/06/20;12:30:00;3678.0000000;3682.0000000;3676.0000000;3680.0000000;61
SPFB.VTBR-9.20;10;15/06/20;12:40:00;3681.0000000;3681.0000000;3677.0000000;3677.0000000;14
SPFB.VTBR-9.20;10;15/06/20;12:50:00;3674.0000000;3680.0000000;3674.0000000;3680.0000000;2
SPFB.VTBR-9.20;10;15/06/20;13:00:00;3683.0000000;3687.0000000;3683.0000000;3687.0000000;33
SPFB.VTBR-9.20;10;15/06/20;13:10:00;3686.0000000;3687.0000000;3671.0000000;3671.0000000;145
SPFB.VTBR-9.20;10;15/06/20;13:20:00;3676.0000000;3687.0000000;3671.0000000;3680.0000000;288
SPFB.VTBR-9.20;10;15/06/20;13:30:00;3681.0000000;3681.0000000;3681.0000000;3681.0000000;21
SPFB.VTBR-9.20;10;15/06/20;13:50:00;3679.0000000;3684.0000000;3677.0000000;3677.0000000;11
SPFB.VTBR-9.20;10;15/06/20;14:00:00;3673.0000000;3678.0000000;3671.0000000;3674.0000000;36
SPFB.VTBR-9.20;10;15/06/20;14:10:00;3673.0000000;3677.0000000;3671.0000000;3676.0000000;5
SPFB.VTBR-9.20;10;15/06/20;14:20:00;3677.0000000;3677.0000000;3672.0000000;3676.0000000;11
SPFB.VTBR-9.20;10;15/06/20;14:30:00;3674.0000000;3678.0000000;3674.0000000;3678.0000000;30
SPFB.VTBR-9.20;10;15/06/20;14:40:00;3680.0000000;3681.0000000;3673.0000000;3681.0000000;9
SPFB.VTBR-9.20;10;15/06/20;14:50:00;3680.0000000;3685.0000000;3680.0000000;3685.0000000;13
SPFB.VTBR-9.20;10;15/06/20;15:00:00;3685.0000000;3691.0000000;3685.0000000;3691.0000000;110
SPFB.VTBR-9.20;10;15/06/20;15:20:00;3691.0000000;3693.0000000;3691.0000000;3693.0000000;6
SPFB.VTBR-9.20;10;15/06/20;15:40:00;3686.0000000;3686.0000000;3684.0000000;3684.0000000;14
SPFB.VTBR-9.20;10;15/06/20;15:50:00;3688.0000000;3688.0000000;3688.0000000;3688.0000000;10
SPFB.VTBR-9.20;10;15/06/20;16:00:00;3689.0000000;3689.0000000;3684.0000000;3685.0000000;9
SPFB.VTBR-9.20;10;15/06/20;16:10:00;3692.0000000;3694.0000000;3689.0000000;3689.0000000;11
SPFB.VTBR-9.20;10;15/06/20;16:20:00;3690.0000000;3700.0000000;3690.0000000;3700.0000000;44
SPFB.VTBR-9.20;10;15/06/20;16:30:00;3700.0000000;3703.0000000;3700.0000000;3702.0000000;154
SPFB.VTBR-9.20;10;15/06/20;16:40:00;3705.0000000;3709.0000000;3698.0000000;3707.0000000;57
SPFB.VTBR-9.20;10;15/06/20;16:50:00;3704.0000000;3704.0000000;3704.0000000;3704.0000000;1
SPFB.VTBR-9.20;10;15/06/20;17:00:00;3708.0000000;3712.0000000;3708.0000000;3712.0000000;23
SPFB.VTBR-9.20;10;15/06/20;17:10:00;3713.0000000;3724.0000000;3713.0000000;3717.0000000;120
SPFB.VTBR-9.20;10;15/06/20;17:20:00;3721.0000000;3721.0000000;3709.0000000;3712.0000000;87
SPFB.VTBR-9.20;10;15/06/20;17:30:00;3712.0000000;3720.0000000;3712.0000000;3716.0000000;68
SPFB.VTBR-9.20;10;15/06/20;17:40:00;3715.0000000;3735.0000000;3715.0000000;3729.0000000;147
SPFB.VTBR-9.20;10;15/06/20;17:50:00;3723.0000000;3723.0000000;3717.0000000;3717.0000000;73
SPFB.VTBR-9.20;10;15/06/20;18:00:00;3727.0000000;3727.0000000;3724.0000000;3724.0000000;6
SPFB.VTBR-9.20;10;15/06/20;18:10:00;3718.0000000;3731.0000000;3717.0000000;3729.0000000;72
SPFB.VTBR-9.20;10;15/06/20;18:20:00;3727.0000000;3729.0000000;3720.0000000;3724.0000000;119
SPFB.VTBR-9.20;10;15/06/20;18:30:00;3720.0000000;3724.0000000;3720.0000000;3724.0000000;2
SPFB.VTBR-9.20;10;15/06/20;18:40:00;3717.0000000;3728.0000000;3717.0000000;3728.0000000;38
SPFB.VTBR-9.20;10;15/06/20;18:50:00;3729.0000000;3729.0000000;3729.0000000;3729.0000000;2
SPFB.VTBR-9.20;10;15/06/20;19:10:00;3726.0000000;3729.0000000;3726.0000000;3728.0000000;50
SPFB.VTBR-9.20;10;15/06/20;19:20:00;3728.0000000;3728.0000000;3727.0000000;3727.0000000;39
SPFB.VTBR-9.20;10;15/06/20;19:30:00;3730.0000000;3734.0000000;3730.0000000;3734.0000000;36
SPFB.VTBR-9.20;10;15/06/20;19:40:00;3733.0000000;3739.0000000;3730.0000000;3739.0000000;84
SPFB.VTBR-9.20;10;15/06/20;19:50:00;3740.0000000;3746.0000000;3738.0000000;3738.0000000;183
SPFB.VTBR-9.20;10;15/06/20;20:00:00;3742.0000000;3744.0000000;3742.0000000;3744.0000000;14
SPFB.VTBR-9.20;10;15/06/20;20:10:00;3744.0000000;3747.0000000;3744.0000000;3747.0000000;15
SPFB.VTBR-9.20;10;15/06/20;20:20:00;3742.0000000;3746.0000000;3739.0000000;3746.0000000;23
SPFB.VTBR-9.20;10;15/06/20;20:30:00;3739.0000000;3740.0000000;3739.0000000;3740.0000000;3
SPFB.VTBR-9.20;10;15/06/20;20:40:00;3739.0000000;3742.0000000;3737.0000000;3737.0000000;30
SPFB.VTBR-9.20;10;15/06/20;20:50:00;3736.0000000;3736.0000000;3733.0000000;3733.0000000;53
SPFB.VTBR-9.20;10;15/06/20;21:00:00;3735.0000000;3735.0000000;3735.0000000;3735.0000000;1
SPFB.VTBR-9.20;10;15/06/20;21:10:00;3740.0000000;3749.0000000;3740.0000000;3746.0000000;15
SPFB.VTBR-9.20;10;15/06/20;21:20:00;3745.0000000;3754.0000000;3741.0000000;3754.0000000;52
SPFB.VTBR-9.20;10;15/06/20;21:30:00;3750.0000000;3758.0000000;3747.0000000;3758.0000000;58
