<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.21;D;01/06/20;00:00:00;72510.0000000;72510.0000000;71440.0000000;71580.0000000;152
SPFB.Si-3.21;D;02/06/20;00:00:00;71410.0000000;71410.0000000;70920.0000000;71000.0000000;2182
SPFB.Si-3.21;D;03/06/20;00:00:00;70910.0000000;71104.0000000;70500.0000000;70940.0000000;1213
SPFB.Si-3.21;D;04/06/20;00:00:00;71250.0000000;71740.0000000;71210.0000000;71520.0000000;88
SPFB.Si-3.21;D;05/06/20;00:00:00;71201.0000000;71201.0000000;70540.0000000;70970.0000000;65
SPFB.Si-3.21;D;08/06/20;00:00:00;70536.0000000;70800.0000000;70275.0000000;70440.0000000;90
SPFB.Si-3.21;D;09/06/20;00:00:00;70650.0000000;71117.0000000;70650.0000000;70770.0000000;107
SPFB.Si-3.21;D;10/06/20;00:00:00;70923.0000000;71120.0000000;70401.0000000;70650.0000000;219
SPFB.Si-3.21;D;11/06/20;00:00:00;71204.0000000;72380.0000000;71130.0000000;72200.0000000;266
SPFB.Si-3.21;D;15/06/20;00:00:00;72690.0000000;72690.0000000;71760.0000000;71760.0000000;321
SPFB.Si-3.21;D;16/06/20;00:00:00;71905.0000000;72104.0000000;71376.0000000;71830.0000000;796
SPFB.Si-3.21;D;17/06/20;00:00:00;71600.0000000;71934.0000000;71600.0000000;71909.0000000;141
SPFB.Si-3.21;D;18/06/20;00:00:00;71809.0000000;72104.0000000;71350.0000000;72048.0000000;383
SPFB.Si-3.21;D;19/06/20;00:00:00;71801.0000000;71801.0000000;71239.0000000;71609.0000000;745
SPFB.Si-3.21;D;22/06/20;00:00:00;71549.0000000;71549.0000000;71023.0000000;71198.0000000;307
SPFB.Si-3.21;D;23/06/20;00:00:00;71040.0000000;71040.0000000;70550.0000000;70890.0000000;260
SPFB.Si-3.21;D;25/06/20;00:00:00;71450.0000000;71620.0000000;71060.0000000;71069.0000000;334
SPFB.Si-3.21;D;26/06/20;00:00:00;71048.0000000;71817.0000000;71047.0000000;71788.0000000;852
SPFB.Si-3.21;D;29/06/20;00:00:00;71595.0000000;72404.0000000;71591.0000000;72160.0000000;175
SPFB.Si-3.21;D;30/06/20;00:00:00;72357.0000000;73330.0000000;72287.0000000;73200.0000000;992
SPFB.Si-3.21;D;02/07/20;00:00:00;72630.0000000;72630.0000000;72200.0000000;72609.0000000;806
SPFB.Si-3.21;D;03/07/20;00:00:00;72452.0000000;73604.0000000;72452.0000000;73341.0000000;3390
SPFB.Si-3.21;D;06/07/20;00:00:00;73000.0000000;74086.0000000;72783.0000000;73900.0000000;383
SPFB.Si-3.21;D;07/07/20;00:00:00;74040.0000000;74339.0000000;73203.0000000;73541.0000000;99
SPFB.Si-3.21;D;08/07/20;00:00:00;73301.0000000;73385.0000000;73060.0000000;73295.0000000;53
SPFB.Si-3.21;D;09/07/20;00:00:00;73000.0000000;73004.0000000;72406.0000000;72849.0000000;632
SPFB.Si-3.21;D;10/07/20;00:00:00;72849.0000000;73370.0000000;72625.0000000;72678.0000000;214
SPFB.Si-3.21;D;13/07/20;00:00:00;72497.0000000;72919.0000000;72401.0000000;72704.0000000;35
SPFB.Si-3.21;D;14/07/20;00:00:00;73004.0000000;73172.0000000;72725.0000000;72725.0000000;55
SPFB.Si-3.21;D;15/07/20;00:00:00;72701.0000000;72916.0000000;72501.0000000;72754.0000000;21
SPFB.Si-3.21;D;16/07/20;00:00:00;73004.0000000;73350.0000000;72900.0000000;73307.0000000;24
SPFB.Si-3.21;D;17/07/20;00:00:00;73455.0000000;73757.0000000;73434.0000000;73747.0000000;31
SPFB.Si-3.21;D;20/07/20;00:00:00;73670.0000000;73700.0000000;73192.0000000;73200.0000000;99
SPFB.Si-3.21;D;21/07/20;00:00:00;73113.0000000;73113.0000000;72401.0000000;72401.0000000;253
SPFB.Si-3.21;D;22/07/20;00:00:00;72401.0000000;73004.0000000;72401.0000000;72846.0000000;79
SPFB.Si-3.21;D;23/07/20;00:00:00;72720.0000000;73344.0000000;72619.0000000;73113.0000000;62
SPFB.Si-3.21;D;24/07/20;00:00:00;73300.0000000;73738.0000000;73204.0000000;73450.0000000;504
SPFB.Si-3.21;D;27/07/20;00:00:00;73280.0000000;73700.0000000;73183.0000000;73444.0000000;50
SPFB.Si-3.21;D;28/07/20;00:00:00;73740.0000000;74459.0000000;73740.0000000;74170.0000000;164
SPFB.Si-3.21;D;29/07/20;00:00:00;74251.0000000;74550.0000000;73901.0000000;74400.0000000;76
SPFB.Si-3.21;D;30/07/20;00:00:00;74940.0000000;75595.0000000;74907.0000000;75127.0000000;974
SPFB.Si-3.21;D;31/07/20;00:00:00;75150.0000000;76276.0000000;75129.0000000;76134.0000000;1722
SPFB.Si-3.21;D;03/08/20;00:00:00;76200.0000000;76367.0000000;74950.0000000;74975.0000000;518
SPFB.Si-3.21;D;04/08/20;00:00:00;74750.0000000;75827.0000000;74701.0000000;75249.0000000;380
SPFB.Si-3.21;D;05/08/20;00:00:00;75001.0000000;75230.0000000;74401.0000000;74693.0000000;226
SPFB.Si-3.21;D;06/08/20;00:00:00;74500.0000000;75304.0000000;74470.0000000;75162.0000000;77
SPFB.Si-3.21;D;07/08/20;00:00:00;75304.0000000;75604.0000000;75260.0000000;75500.0000000;504
SPFB.Si-3.21;D;10/08/20;00:00:00;75604.0000000;75604.0000000;75100.0000000;75130.0000000;122
SPFB.Si-3.21;D;11/08/20;00:00:00;75050.0000000;75050.0000000;74400.0000000;74763.0000000;146
SPFB.Si-3.21;D;12/08/20;00:00:00;74903.0000000;75430.0000000;74702.0000000;75360.0000000;114
SPFB.Si-3.21;D;13/08/20;00:00:00;75400.0000000;75400.0000000;74591.0000000;74660.0000000;97
SPFB.Si-3.21;D;14/08/20;00:00:00;74624.0000000;75004.0000000;74421.0000000;74509.0000000;3292
SPFB.Si-3.21;D;17/08/20;00:00:00;74600.0000000;75400.0000000;74469.0000000;75325.0000000;96
SPFB.Si-3.21;D;18/08/20;00:00:00;75282.0000000;75282.0000000;74600.0000000;74858.0000000;96
SPFB.Si-3.21;D;19/08/20;00:00:00;74800.0000000;75140.0000000;74700.0000000;74909.0000000;96
SPFB.Si-3.21;D;20/08/20;00:00:00;75004.0000000;75800.0000000;75004.0000000;75461.0000000;251
SPFB.Si-3.21;D;21/08/20;00:00:00;75301.0000000;76599.0000000;75300.0000000;76450.0000000;475
SPFB.Si-3.21;D;24/08/20;00:00:00;76350.0000000;76350.0000000;75841.0000000;76200.0000000;298
SPFB.Si-3.21;D;25/08/20;00:00:00;76200.0000000;77330.0000000;76000.0000000;76930.0000000;791
SPFB.Si-3.21;D;26/08/20;00:00:00;77207.0000000;77655.0000000;77000.0000000;77100.0000000;886
SPFB.Si-3.21;D;27/08/20;00:00:00;77033.0000000;77076.0000000;76400.0000000;76558.0000000;673
SPFB.Si-3.21;D;28/08/20;00:00:00;76510.0000000;76510.0000000;75596.0000000;75598.0000000;1107
SPFB.Si-3.21;D;31/08/20;00:00:00;75659.0000000;75998.0000000;75170.0000000;75586.0000000;5626
SPFB.Si-3.21;D;01/09/20;00:00:00;75532.0000000;75532.0000000;74850.0000000;75210.0000000;763
SPFB.Si-3.21;D;02/09/20;00:00:00;75198.0000000;77170.0000000;75149.0000000;76950.0000000;6409
SPFB.Si-3.21;D;03/09/20;00:00:00;77004.0000000;79011.0000000;76400.0000000;76816.0000000;1870
SPFB.Si-3.21;D;04/09/20;00:00:00;76930.0000000;77140.0000000;76450.0000000;76885.0000000;986
SPFB.Si-3.21;D;07/09/20;00:00:00;76900.0000000;77710.0000000;76900.0000000;77289.0000000;5728
SPFB.Si-3.21;D;08/09/20;00:00:00;77360.0000000;78078.0000000;77249.0000000;77858.0000000;4280
SPFB.Si-3.21;D;09/09/20;00:00:00;77900.0000000;77900.0000000;76850.0000000;76947.0000000;7237
SPFB.Si-3.21;D;10/09/20;00:00:00;76850.0000000;77150.0000000;76161.0000000;76735.0000000;838
SPFB.Si-3.21;D;11/09/20;00:00:00;76511.0000000;76538.0000000;76256.0000000;76420.0000000;365
SPFB.Si-3.21;D;14/09/20;00:00:00;76200.0000000;77000.0000000;76077.0000000;76715.0000000;2755
SPFB.Si-3.21;D;15/09/20;00:00:00;76698.0000000;76814.0000000;76350.0000000;76500.0000000;441
SPFB.Si-3.21;D;16/09/20;00:00:00;76350.0000000;76555.0000000;76109.0000000;76520.0000000;29431
SPFB.Si-3.21;D;17/09/20;00:00:00;76686.0000000;76900.0000000;76398.0000000;76653.0000000;1971
SPFB.Si-3.21;D;18/09/20;00:00:00;76550.0000000;77188.0000000;76395.0000000;77154.0000000;5613
SPFB.Si-3.21;D;21/09/20;00:00:00;77149.0000000;77965.0000000;76992.0000000;77530.0000000;13550
SPFB.Si-3.21;D;22/09/20;00:00:00;77585.0000000;77914.0000000;77134.0000000;77510.0000000;6167
SPFB.Si-3.21;D;23/09/20;00:00:00;77624.0000000;78531.0000000;77624.0000000;78524.0000000;20831
SPFB.Si-3.21;D;24/09/20;00:00:00;78538.0000000;78930.0000000;78350.0000000;78589.0000000;28361
SPFB.Si-3.21;D;25/09/20;00:00:00;78460.0000000;79910.0000000;78071.0000000;79650.0000000;25199
SPFB.Si-3.21;D;28/09/20;00:00:00;79579.0000000;80734.0000000;79500.0000000;80525.0000000;27829
SPFB.Si-3.21;D;29/09/20;00:00:00;80580.0000000;81410.0000000;79860.0000000;80466.0000000;40316
SPFB.Si-3.21;D;30/09/20;00:00:00;80535.0000000;80815.0000000;78950.0000000;79010.0000000;34821
SPFB.Si-3.21;D;01/10/20;00:00:00;78973.0000000;78978.0000000;78355.0000000;78675.0000000;26371
SPFB.Si-3.21;D;02/10/20;00:00:00;78777.0000000;80131.0000000;78777.0000000;79510.0000000;21144
SPFB.Si-3.21;D;05/10/20;00:00:00;79470.0000000;80190.0000000;79144.0000000;79411.0000000;8352
SPFB.Si-3.21;D;06/10/20;00:00:00;79440.0000000;79974.0000000;78910.0000000;79754.0000000;9085
SPFB.Si-3.21;D;07/10/20;00:00:00;79605.0000000;79790.0000000;79205.0000000;79359.0000000;7048
SPFB.Si-3.21;D;08/10/20;00:00:00;79300.0000000;79396.0000000;78570.0000000;78650.0000000;9275
SPFB.Si-3.21;D;09/10/20;00:00:00;78640.0000000;78640.0000000;77907.0000000;77975.0000000;16191
SPFB.Si-3.21;D;12/10/20;00:00:00;78079.0000000;78490.0000000;78072.0000000;78386.0000000;9399
SPFB.Si-3.21;D;13/10/20;00:00:00;78435.0000000;78640.0000000;78073.0000000;78237.0000000;8571
SPFB.Si-3.21;D;14/10/20;00:00:00;78350.0000000;78935.0000000;78298.0000000;78815.0000000;8984
SPFB.Si-3.21;D;15/10/20;00:00:00;78869.0000000;79642.0000000;78869.0000000;79277.0000000;11069
SPFB.Si-3.21;D;16/10/20;00:00:00;79293.0000000;79550.0000000;78950.0000000;79101.0000000;11531
SPFB.Si-3.21;D;19/10/20;00:00:00;79199.0000000;79266.0000000;78608.0000000;78805.0000000;9256
SPFB.Si-3.21;D;20/10/20;00:00:00;78876.0000000;79233.0000000;78468.0000000;78528.0000000;8510
SPFB.Si-3.21;D;21/10/20;00:00:00;78502.0000000;78502.0000000;77715.0000000;77837.0000000;19625
SPFB.Si-3.21;D;22/10/20;00:00:00;77930.0000000;78352.0000000;77494.0000000;77721.0000000;11839
SPFB.Si-3.21;D;23/10/20;00:00:00;77783.0000000;77990.0000000;77215.0000000;77218.0000000;8935
SPFB.Si-3.21;D;26/10/20;00:00:00;77300.0000000;77708.0000000;77100.0000000;77534.0000000;19942
SPFB.Si-3.21;D;27/10/20;00:00:00;77449.0000000;78422.0000000;77325.0000000;78381.0000000;24564
SPFB.Si-3.21;D;28/10/20;00:00:00;78432.0000000;80332.0000000;78432.0000000;80317.0000000;31828
SPFB.Si-3.21;D;29/10/20;00:00:00;80200.0000000;80720.0000000;79683.0000000;79966.0000000;38350
SPFB.Si-3.21;D;30/10/20;00:00:00;80100.0000000;80653.0000000;79850.0000000;80600.0000000;19893
SPFB.Si-3.21;D;02/11/20;00:00:00;80650.0000000;82042.0000000;80650.0000000;81604.0000000;48247
SPFB.Si-3.21;D;03/11/20;00:00:00;81550.0000000;81550.0000000;80117.0000000;80450.0000000;54279
SPFB.Si-3.21;D;05/11/20;00:00:00;80400.0000000;80400.0000000;77790.0000000;77993.0000000;48279
SPFB.Si-3.21;D;06/11/20;00:00:00;78050.0000000;78900.0000000;77950.0000000;78390.0000000;23043
SPFB.Si-3.21;D;09/11/20;00:00:00;78348.0000000;78348.0000000;76719.0000000;77200.0000000;69380
SPFB.Si-3.21;D;10/11/20;00:00:00;77337.0000000;77868.0000000;77044.0000000;77483.0000000;29206
