<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.20;60;19/12/19;11:00:00;63349.0000000;63349.0000000;63182.0000000;63225.0000000;237228
SPFB.Si-3.20;60;19/12/19;12:00:00;63221.0000000;63234.0000000;63150.0000000;63166.0000000;189504
SPFB.Si-3.20;60;19/12/19;13:00:00;63166.0000000;63175.0000000;63045.0000000;63087.0000000;278470
SPFB.Si-3.20;60;19/12/19;14:00:00;63086.0000000;63165.0000000;63078.0000000;63134.0000000;135703
SPFB.Si-3.20;60;19/12/19;15:00:00;63134.0000000;63190.0000000;63126.0000000;63137.0000000;82653
SPFB.Si-3.20;60;19/12/19;16:00:00;63137.0000000;63158.0000000;63066.0000000;63131.0000000;113601
SPFB.Si-3.20;60;19/12/19;17:00:00;63129.0000000;63196.0000000;63121.0000000;63172.0000000;108082
SPFB.Si-3.20;60;19/12/19;18:00:00;63171.0000000;63202.0000000;63001.0000000;63048.0000000;231865
SPFB.Si-3.20;60;19/12/19;19:00:00;63046.0000000;63065.0000000;62978.0000000;63051.0000000;124115
SPFB.Si-3.20;60;19/12/19;20:00:00;63014.0000000;63045.0000000;62958.0000000;63002.0000000;66503
SPFB.Si-3.20;60;19/12/19;21:00:00;63005.0000000;63085.0000000;62993.0000000;63030.0000000;46008
SPFB.Si-3.20;60;19/12/19;22:00:00;63032.0000000;63057.0000000;63016.0000000;63048.0000000;16656
SPFB.Si-3.20;60;19/12/19;23:00:00;63048.0000000;63069.0000000;63036.0000000;63064.0000000;13121
SPFB.Si-3.20;60;20/12/19;00:00:00;63064.0000000;63110.0000000;63032.0000000;63086.0000000;35455
SPFB.Si-3.20;60;20/12/19;11:00:00;63076.0000000;63135.0000000;63023.0000000;63045.0000000;174062
SPFB.Si-3.20;60;20/12/19;12:00:00;63047.0000000;63052.0000000;62925.0000000;62977.0000000;185796
SPFB.Si-3.20;60;20/12/19;13:00:00;62976.0000000;63020.0000000;62891.0000000;62908.0000000;121359
SPFB.Si-3.20;60;20/12/19;14:00:00;62908.0000000;62920.0000000;62721.0000000;62744.0000000;266822
SPFB.Si-3.20;60;20/12/19;15:00:00;62744.0000000;62773.0000000;62670.0000000;62687.0000000;157857
SPFB.Si-3.20;60;20/12/19;16:00:00;62686.0000000;62769.0000000;62678.0000000;62766.0000000;94367
SPFB.Si-3.20;60;20/12/19;17:00:00;62765.0000000;62863.0000000;62751.0000000;62843.0000000;135728
SPFB.Si-3.20;60;20/12/19;18:00:00;62839.0000000;62848.0000000;62753.0000000;62831.0000000;105214
SPFB.Si-3.20;60;20/12/19;19:00:00;62835.0000000;62982.0000000;62824.0000000;62961.0000000;155502
SPFB.Si-3.20;60;20/12/19;20:00:00;62917.0000000;62955.0000000;62847.0000000;62902.0000000;66007
SPFB.Si-3.20;60;20/12/19;21:00:00;62902.0000000;62943.0000000;62817.0000000;62865.0000000;35909
SPFB.Si-3.20;60;20/12/19;22:00:00;62865.0000000;62912.0000000;62854.0000000;62888.0000000;18731
SPFB.Si-3.20;60;20/12/19;23:00:00;62888.0000000;62901.0000000;62872.0000000;62881.0000000;14852
SPFB.Si-3.20;60;21/12/19;00:00:00;62879.0000000;62937.0000000;62872.0000000;62916.0000000;30187
SPFB.Si-3.20;60;23/12/19;11:00:00;62913.0000000;62990.0000000;62868.0000000;62903.0000000;230234
SPFB.Si-3.20;60;23/12/19;12:00:00;62904.0000000;62932.0000000;62859.0000000;62932.0000000;144987
SPFB.Si-3.20;60;23/12/19;13:00:00;62931.0000000;63025.0000000;62916.0000000;62982.0000000;227144
SPFB.Si-3.20;60;23/12/19;14:00:00;62984.0000000;63007.0000000;62944.0000000;62971.0000000;103424
SPFB.Si-3.20;60;23/12/19;15:00:00;62972.0000000;62980.0000000;62921.0000000;62932.0000000;87267
SPFB.Si-3.20;60;23/12/19;16:00:00;62933.0000000;63023.0000000;62933.0000000;62978.0000000;74974
SPFB.Si-3.20;60;23/12/19;17:00:00;62977.0000000;63013.0000000;62958.0000000;62995.0000000;88208
SPFB.Si-3.20;60;23/12/19;18:00:00;62995.0000000;63032.0000000;62906.0000000;62906.0000000;109336
SPFB.Si-3.20;60;23/12/19;19:00:00;62906.0000000;62937.0000000;62880.0000000;62928.0000000;81296
SPFB.Si-3.20;60;23/12/19;20:00:00;62922.0000000;62960.0000000;62814.0000000;62822.0000000;83572
SPFB.Si-3.20;60;23/12/19;21:00:00;62825.0000000;62859.0000000;62802.0000000;62811.0000000;50788
SPFB.Si-3.20;60;23/12/19;22:00:00;62811.0000000;62861.0000000;62782.0000000;62842.0000000;41295
SPFB.Si-3.20;60;23/12/19;23:00:00;62842.0000000;62887.0000000;62842.0000000;62873.0000000;16597
SPFB.Si-3.20;60;24/12/19;00:00:00;62873.0000000;62932.0000000;62864.0000000;62930.0000000;32112
SPFB.Si-3.20;60;24/12/19;11:00:00;62923.0000000;62938.0000000;62769.0000000;62777.0000000;215728
SPFB.Si-3.20;60;24/12/19;12:00:00;62774.0000000;62789.0000000;62722.0000000;62752.0000000;231823
SPFB.Si-3.20;60;24/12/19;13:00:00;62752.0000000;62775.0000000;62660.0000000;62703.0000000;158054
SPFB.Si-3.20;60;24/12/19;14:00:00;62702.0000000;62710.0000000;62565.0000000;62645.0000000;169808
SPFB.Si-3.20;60;24/12/19;15:00:00;62649.0000000;62710.0000000;62640.0000000;62680.0000000;66528
SPFB.Si-3.20;60;24/12/19;16:00:00;62680.0000000;62698.0000000;62627.0000000;62690.0000000;73212
SPFB.Si-3.20;60;24/12/19;17:00:00;62689.0000000;62731.0000000;62604.0000000;62637.0000000;110045
SPFB.Si-3.20;60;24/12/19;18:00:00;62637.0000000;62674.0000000;62517.0000000;62576.0000000;163287
SPFB.Si-3.20;60;24/12/19;19:00:00;62573.0000000;62642.0000000;62555.0000000;62600.0000000;58953
SPFB.Si-3.20;60;24/12/19;20:00:00;62616.0000000;62640.0000000;62558.0000000;62616.0000000;26799
SPFB.Si-3.20;60;24/12/19;21:00:00;62617.0000000;62662.0000000;62607.0000000;62634.0000000;28698
SPFB.Si-3.20;60;24/12/19;22:00:00;62633.0000000;62640.0000000;62593.0000000;62603.0000000;12821
