<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.VTBR-9.20;60;15/06/20;11:00:00;3655.0000000;3680.0000000;3628.0000000;3666.0000000;2034
SPFB.VTBR-9.20;60;15/06/20;12:00:00;3667.0000000;3687.0000000;3667.0000000;3677.0000000;848
SPFB.VTBR-9.20;60;15/06/20;13:00:00;3675.0000000;3687.0000000;3667.0000000;3687.0000000;330
SPFB.VTBR-9.20;60;15/06/20;14:00:00;3686.0000000;3687.0000000;3671.0000000;3674.0000000;501
SPFB.VTBR-9.20;60;15/06/20;15:00:00;3673.0000000;3691.0000000;3671.0000000;3691.0000000;178
SPFB.VTBR-9.20;60;15/06/20;16:00:00;3691.0000000;3693.0000000;3684.0000000;3685.0000000;39
SPFB.VTBR-9.20;60;15/06/20;17:00:00;3692.0000000;3712.0000000;3689.0000000;3712.0000000;290
SPFB.VTBR-9.20;60;15/06/20;18:00:00;3713.0000000;3735.0000000;3709.0000000;3724.0000000;501
SPFB.VTBR-9.20;60;15/06/20;19:00:00;3718.0000000;3731.0000000;3717.0000000;3729.0000000;233
SPFB.VTBR-9.20;60;15/06/20;20:00:00;3726.0000000;3746.0000000;3726.0000000;3744.0000000;406
SPFB.VTBR-9.20;60;15/06/20;21:00:00;3744.0000000;3747.0000000;3733.0000000;3735.0000000;125
SPFB.VTBR-9.20;60;15/06/20;22:00:00;3740.0000000;3759.0000000;3740.0000000;3756.0000000;252
SPFB.VTBR-9.20;60;15/06/20;23:00:00;3756.0000000;3759.0000000;3740.0000000;3740.0000000;380
SPFB.VTBR-9.20;60;16/06/20;00:00:00;3743.0000000;3759.0000000;3743.0000000;3755.0000000;228
SPFB.VTBR-9.20;60;16/06/20;11:00:00;3760.0000000;3799.0000000;3744.0000000;3773.0000000;2656
SPFB.VTBR-9.20;60;16/06/20;12:00:00;3770.0000000;3780.0000000;3762.0000000;3773.0000000;976
SPFB.VTBR-9.20;60;16/06/20;13:00:00;3773.0000000;3776.0000000;3762.0000000;3767.0000000;547
SPFB.VTBR-9.20;60;16/06/20;14:00:00;3767.0000000;3774.0000000;3761.0000000;3761.0000000;424
SPFB.VTBR-9.20;60;16/06/20;15:00:00;3768.0000000;3768.0000000;3754.0000000;3761.0000000;1358
SPFB.VTBR-9.20;60;16/06/20;16:00:00;3762.0000000;3782.0000000;3758.0000000;3770.0000000;2006
SPFB.VTBR-9.20;60;16/06/20;17:00:00;3769.0000000;3771.0000000;3757.0000000;3771.0000000;353
SPFB.VTBR-9.20;60;16/06/20;18:00:00;3771.0000000;3772.0000000;3711.0000000;3715.0000000;1245
SPFB.VTBR-9.20;60;16/06/20;19:00:00;3719.0000000;3740.0000000;3715.0000000;3737.0000000;698
SPFB.VTBR-9.20;60;16/06/20;20:00:00;3730.0000000;3753.0000000;3721.0000000;3737.0000000;470
SPFB.VTBR-9.20;60;16/06/20;21:00:00;3745.0000000;3757.0000000;3741.0000000;3745.0000000;251
SPFB.VTBR-9.20;60;16/06/20;22:00:00;3745.0000000;3757.0000000;3744.0000000;3750.0000000;231
SPFB.VTBR-9.20;60;16/06/20;23:00:00;3750.0000000;3750.0000000;3735.0000000;3738.0000000;288
SPFB.VTBR-9.20;60;17/06/20;00:00:00;3747.0000000;3750.0000000;3740.0000000;3747.0000000;303
SPFB.VTBR-9.20;60;17/06/20;11:00:00;3747.0000000;3763.0000000;3728.0000000;3750.0000000;3722
SPFB.VTBR-9.20;60;17/06/20;12:00:00;3749.0000000;3750.0000000;3736.0000000;3743.0000000;1946
SPFB.VTBR-9.20;60;17/06/20;13:00:00;3744.0000000;3746.0000000;3723.0000000;3724.0000000;1946
SPFB.VTBR-9.20;60;17/06/20;14:00:00;3723.0000000;3736.0000000;3718.0000000;3731.0000000;3405
SPFB.VTBR-9.20;60;17/06/20;15:00:00;3733.0000000;3735.0000000;3720.0000000;3726.0000000;3096
SPFB.VTBR-9.20;60;17/06/20;16:00:00;3728.0000000;3732.0000000;3720.0000000;3723.0000000;4452
SPFB.VTBR-9.20;60;17/06/20;17:00:00;3722.0000000;3727.0000000;3707.0000000;3718.0000000;3552
SPFB.VTBR-9.20;60;17/06/20;18:00:00;3719.0000000;3731.0000000;3711.0000000;3721.0000000;1653
SPFB.VTBR-9.20;60;17/06/20;19:00:00;3725.0000000;3725.0000000;3700.0000000;3700.0000000;4355
SPFB.VTBR-9.20;60;17/06/20;20:00:00;3700.0000000;3707.0000000;3680.0000000;3691.0000000;1304
SPFB.VTBR-9.20;60;17/06/20;21:00:00;3692.0000000;3704.0000000;3692.0000000;3695.0000000;876
SPFB.VTBR-9.20;60;17/06/20;22:00:00;3695.0000000;3702.0000000;3691.0000000;3698.0000000;512
SPFB.VTBR-9.20;60;17/06/20;23:00:00;3698.0000000;3700.0000000;3684.0000000;3687.0000000;759
SPFB.VTBR-9.20;60;18/06/20;00:00:00;3687.0000000;3701.0000000;3679.0000000;3696.0000000;1576
SPFB.VTBR-9.20;60;18/06/20;11:00:00;3700.0000000;3702.0000000;3671.0000000;3678.0000000;17478
SPFB.VTBR-9.20;60;18/06/20;12:00:00;3678.0000000;3692.0000000;3670.0000000;3689.0000000;7767
SPFB.VTBR-9.20;60;18/06/20;13:00:00;3688.0000000;3691.0000000;3669.0000000;3670.0000000;7836
SPFB.VTBR-9.20;60;18/06/20;14:00:00;3669.0000000;3676.0000000;3665.0000000;3668.0000000;2377
SPFB.VTBR-9.20;60;18/06/20;15:00:00;3667.0000000;3668.0000000;3642.0000000;3644.0000000;7369
SPFB.VTBR-9.20;60;18/06/20;16:00:00;3644.0000000;3656.0000000;3640.0000000;3644.0000000;6130
SPFB.VTBR-9.20;60;18/06/20;17:00:00;3643.0000000;3654.0000000;3637.0000000;3646.0000000;11904
SPFB.VTBR-9.20;60;18/06/20;18:00:00;3648.0000000;3661.0000000;3643.0000000;3649.0000000;4441
SPFB.VTBR-9.20;60;18/06/20;19:00:00;3650.0000000;3665.0000000;3642.0000000;3650.0000000;3973
SPFB.VTBR-9.20;60;18/06/20;20:00:00;3655.0000000;3668.0000000;3645.0000000;3653.0000000;763
SPFB.VTBR-9.20;60;18/06/20;21:00:00;3653.0000000;3656.0000000;3649.0000000;3654.0000000;543
SPFB.VTBR-9.20;60;18/06/20;22:00:00;3654.0000000;3654.0000000;3642.0000000;3649.0000000;665
SPFB.VTBR-9.20;60;18/06/20;23:00:00;3647.0000000;3657.0000000;3643.0000000;3650.0000000;2601
SPFB.VTBR-9.20;60;19/06/20;00:00:00;3653.0000000;3653.0000000;3644.0000000;3649.0000000;194
SPFB.VTBR-9.20;60;19/06/20;11:00:00;3649.0000000;3683.0000000;3649.0000000;3679.0000000;11455
SPFB.VTBR-9.20;60;19/06/20;12:00:00;3679.0000000;3681.0000000;3653.0000000;3657.0000000;3041
SPFB.VTBR-9.20;60;19/06/20;13:00:00;3658.0000000;3663.0000000;3653.0000000;3660.0000000;2834
SPFB.VTBR-9.20;60;19/06/20;14:00:00;3658.0000000;3665.0000000;3650.0000000;3664.0000000;5083
SPFB.VTBR-9.20;60;19/06/20;15:00:00;3663.0000000;3665.0000000;3655.0000000;3664.0000000;3517
SPFB.VTBR-9.20;60;19/06/20;16:00:00;3664.0000000;3673.0000000;3654.0000000;3657.0000000;3214
SPFB.VTBR-9.20;60;19/06/20;17:00:00;3655.0000000;3660.0000000;3643.0000000;3645.0000000;3585
SPFB.VTBR-9.20;60;19/06/20;18:00:00;3646.0000000;3650.0000000;3636.0000000;3642.0000000;4129
SPFB.VTBR-9.20;60;19/06/20;19:00:00;3642.0000000;3653.0000000;3612.0000000;3622.0000000;4237
SPFB.VTBR-9.20;60;19/06/20;20:00:00;3626.0000000;3640.0000000;3564.0000000;3584.0000000;11803
SPFB.VTBR-9.20;60;19/06/20;21:00:00;3584.0000000;3590.0000000;3575.0000000;3575.0000000;2076
SPFB.VTBR-9.20;60;19/06/20;22:00:00;3576.0000000;3583.0000000;3571.0000000;3581.0000000;3053
SPFB.VTBR-9.20;60;19/06/20;23:00:00;3581.0000000;3589.0000000;3577.0000000;3580.0000000;2788
SPFB.VTBR-9.20;60;20/06/20;00:00:00;3579.0000000;3582.0000000;3571.0000000;3579.0000000;2135
