<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-9.19;5;19/06/19;10:05:00;64875.0000000;64915.0000000;64824.0000000;64851.0000000;7277
SPFB.Si-9.19;5;19/06/19;10:10:00;64851.0000000;64852.0000000;64801.0000000;64821.0000000;4922
SPFB.Si-9.19;5;19/06/19;10:15:00;64819.0000000;64853.0000000;64814.0000000;64844.0000000;3842
SPFB.Si-9.19;5;19/06/19;10:20:00;64845.0000000;64867.0000000;64823.0000000;64858.0000000;5922
SPFB.Si-9.19;5;19/06/19;10:25:00;64854.0000000;64863.0000000;64801.0000000;64835.0000000;3167
SPFB.Si-9.19;5;19/06/19;10:30:00;64831.0000000;64840.0000000;64812.0000000;64821.0000000;3203
SPFB.Si-9.19;5;19/06/19;10:35:00;64816.0000000;64821.0000000;64803.0000000;64819.0000000;3602
SPFB.Si-9.19;5;19/06/19;10:40:00;64817.0000000;64821.0000000;64770.0000000;64796.0000000;9176
SPFB.Si-9.19;5;19/06/19;10:45:00;64793.0000000;64797.0000000;64764.0000000;64776.0000000;10856
SPFB.Si-9.19;5;19/06/19;10:50:00;64775.0000000;64790.0000000;64762.0000000;64766.0000000;4367
SPFB.Si-9.19;5;19/06/19;10:55:00;64767.0000000;64781.0000000;64750.0000000;64757.0000000;15780
SPFB.Si-9.19;5;19/06/19;11:00:00;64755.0000000;64766.0000000;64744.0000000;64761.0000000;2303
SPFB.Si-9.19;5;19/06/19;11:05:00;64761.0000000;64775.0000000;64750.0000000;64770.0000000;2868
SPFB.Si-9.19;5;19/06/19;11:10:00;64767.0000000;64771.0000000;64754.0000000;64765.0000000;4704
SPFB.Si-9.19;5;19/06/19;11:15:00;64762.0000000;64777.0000000;64756.0000000;64774.0000000;2887
SPFB.Si-9.19;5;19/06/19;11:20:00;64774.0000000;64800.0000000;64771.0000000;64775.0000000;4020
SPFB.Si-9.19;5;19/06/19;11:25:00;64776.0000000;64786.0000000;64772.0000000;64782.0000000;1422
SPFB.Si-9.19;5;19/06/19;11:30:00;64780.0000000;64790.0000000;64775.0000000;64775.0000000;1659
SPFB.Si-9.19;5;19/06/19;11:35:00;64775.0000000;64808.0000000;64772.0000000;64802.0000000;1910
SPFB.Si-9.19;5;19/06/19;11:40:00;64804.0000000;64812.0000000;64771.0000000;64788.0000000;3960
SPFB.Si-9.19;5;19/06/19;11:45:00;64783.0000000;64790.0000000;64771.0000000;64783.0000000;3248
SPFB.Si-9.19;5;19/06/19;11:50:00;64783.0000000;64793.0000000;64780.0000000;64789.0000000;4058
SPFB.Si-9.19;5;19/06/19;11:55:00;64789.0000000;64797.0000000;64780.0000000;64790.0000000;1937
SPFB.Si-9.19;5;19/06/19;12:00:00;64789.0000000;64791.0000000;64773.0000000;64780.0000000;2543
SPFB.Si-9.19;5;19/06/19;12:05:00;64779.0000000;64780.0000000;64760.0000000;64764.0000000;5954
SPFB.Si-9.19;5;19/06/19;12:10:00;64764.0000000;64783.0000000;64759.0000000;64775.0000000;4136
SPFB.Si-9.19;5;19/06/19;12:15:00;64775.0000000;64792.0000000;64770.0000000;64783.0000000;2941
SPFB.Si-9.19;5;19/06/19;12:20:00;64783.0000000;64810.0000000;64774.0000000;64805.0000000;3105
SPFB.Si-9.19;5;19/06/19;12:25:00;64804.0000000;64815.0000000;64796.0000000;64813.0000000;3313
SPFB.Si-9.19;5;19/06/19;12:30:00;64813.0000000;64818.0000000;64804.0000000;64810.0000000;3465
SPFB.Si-9.19;5;19/06/19;12:35:00;64813.0000000;64819.0000000;64805.0000000;64805.0000000;4108
SPFB.Si-9.19;5;19/06/19;12:40:00;64807.0000000;64820.0000000;64807.0000000;64816.0000000;1404
SPFB.Si-9.19;5;19/06/19;12:45:00;64816.0000000;64827.0000000;64804.0000000;64810.0000000;4013
SPFB.Si-9.19;5;19/06/19;12:50:00;64810.0000000;64830.0000000;64807.0000000;64825.0000000;2612
SPFB.Si-9.19;5;19/06/19;12:55:00;64824.0000000;64830.0000000;64803.0000000;64827.0000000;7377
SPFB.Si-9.19;5;19/06/19;13:00:00;64825.0000000;64850.0000000;64813.0000000;64837.0000000;4929
SPFB.Si-9.19;5;19/06/19;13:05:00;64839.0000000;64864.0000000;64839.0000000;64853.0000000;5121
SPFB.Si-9.19;5;19/06/19;13:10:00;64853.0000000;64879.0000000;64840.0000000;64840.0000000;7461
SPFB.Si-9.19;5;19/06/19;13:15:00;64840.0000000;64847.0000000;64815.0000000;64825.0000000;4380
SPFB.Si-9.19;5;19/06/19;13:20:00;64822.0000000;64840.0000000;64819.0000000;64828.0000000;2422
SPFB.Si-9.19;5;19/06/19;13:25:00;64828.0000000;64846.0000000;64818.0000000;64831.0000000;4137
SPFB.Si-9.19;5;19/06/19;13:30:00;64831.0000000;64854.0000000;64831.0000000;64849.0000000;2602
SPFB.Si-9.19;5;19/06/19;13:35:00;64849.0000000;64866.0000000;64846.0000000;64853.0000000;3172
SPFB.Si-9.19;5;19/06/19;13:40:00;64854.0000000;64865.0000000;64840.0000000;64860.0000000;6037
SPFB.Si-9.19;5;19/06/19;13:45:00;64860.0000000;64864.0000000;64852.0000000;64857.0000000;1850
SPFB.Si-9.19;5;19/06/19;13:50:00;64857.0000000;64865.0000000;64853.0000000;64864.0000000;2766
SPFB.Si-9.19;5;19/06/19;13:55:00;64863.0000000;64864.0000000;64840.0000000;64851.0000000;2915
SPFB.Si-9.19;5;19/06/19;14:00:00;64851.0000000;64856.0000000;64809.0000000;64828.0000000;19025
SPFB.Si-9.19;5;19/06/19;14:10:00;64826.0000000;64841.0000000;64816.0000000;64831.0000000;3104
SPFB.Si-9.19;5;19/06/19;14:15:00;64832.0000000;64842.0000000;64827.0000000;64837.0000000;2604
SPFB.Si-9.19;5;19/06/19;14:20:00;64836.0000000;64849.0000000;64834.0000000;64849.0000000;2471
SPFB.Si-9.19;5;19/06/19;14:25:00;64848.0000000;64856.0000000;64838.0000000;64855.0000000;2191
SPFB.Si-9.19;5;19/06/19;14:30:00;64855.0000000;64856.0000000;64833.0000000;64840.0000000;1610
SPFB.Si-9.19;5;19/06/19;14:35:00;64840.0000000;64856.0000000;64839.0000000;64855.0000000;2655
SPFB.Si-9.19;5;19/06/19;14:40:00;64855.0000000;64855.0000000;64837.0000000;64849.0000000;2112
SPFB.Si-9.19;5;19/06/19;14:45:00;64850.0000000;64855.0000000;64847.0000000;64852.0000000;2031
SPFB.Si-9.19;5;19/06/19;14:50:00;64852.0000000;64873.0000000;64852.0000000;64873.0000000;4208
SPFB.Si-9.19;5;19/06/19;14:55:00;64872.0000000;64874.0000000;64843.0000000;64854.0000000;4821
SPFB.Si-9.19;5;19/06/19;15:00:00;64854.0000000;64860.0000000;64849.0000000;64852.0000000;1529
SPFB.Si-9.19;5;19/06/19;15:05:00;64853.0000000;64857.0000000;64835.0000000;64842.0000000;3201
SPFB.Si-9.19;5;19/06/19;15:10:00;64838.0000000;64842.0000000;64825.0000000;64834.0000000;2637
SPFB.Si-9.19;5;19/06/19;15:15:00;64830.0000000;64841.0000000;64830.0000000;64841.0000000;2597
SPFB.Si-9.19;5;19/06/19;15:20:00;64841.0000000;64850.0000000;64837.0000000;64848.0000000;2566
SPFB.Si-9.19;5;19/06/19;15:25:00;64848.0000000;64852.0000000;64830.0000000;64842.0000000;2645
SPFB.Si-9.19;5;19/06/19;15:30:00;64841.0000000;64855.0000000;64840.0000000;64854.0000000;963
SPFB.Si-9.19;5;19/06/19;15:35:00;64850.0000000;64857.0000000;64840.0000000;64847.0000000;2767
