<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-9.20;1;14/08/20;10:01:00;73218.0000000;73237.0000000;73146.0000000;73162.0000000;15828
SPFB.Si-9.20;1;14/08/20;10:02:00;73166.0000000;73326.0000000;73155.0000000;73267.0000000;20466
SPFB.Si-9.20;1;14/08/20;10:03:00;73268.0000000;73376.0000000;73264.0000000;73298.0000000;16397
SPFB.Si-9.20;1;14/08/20;10:04:00;73299.0000000;73313.0000000;73278.0000000;73290.0000000;6134
SPFB.Si-9.20;1;14/08/20;10:05:00;73290.0000000;73358.0000000;73288.0000000;73343.0000000;6666
SPFB.Si-9.20;1;14/08/20;10:06:00;73343.0000000;73351.0000000;73325.0000000;73349.0000000;5184
SPFB.Si-9.20;1;14/08/20;10:07:00;73350.0000000;73354.0000000;73328.0000000;73347.0000000;7905
SPFB.Si-9.20;1;14/08/20;10:08:00;73347.0000000;73356.0000000;73287.0000000;73300.0000000;10046
SPFB.Si-9.20;1;14/08/20;10:09:00;73303.0000000;73370.0000000;73299.0000000;73342.0000000;8123
SPFB.Si-9.20;1;14/08/20;10:10:00;73341.0000000;73359.0000000;73338.0000000;73349.0000000;5157
SPFB.Si-9.20;1;14/08/20;10:11:00;73351.0000000;73430.0000000;73345.0000000;73418.0000000;28050
SPFB.Si-9.20;1;14/08/20;10:12:00;73418.0000000;73450.0000000;73411.0000000;73443.0000000;10031
SPFB.Si-9.20;1;14/08/20;10:13:00;73438.0000000;73449.0000000;73412.0000000;73417.0000000;7123
SPFB.Si-9.20;1;14/08/20;10:14:00;73419.0000000;73436.0000000;73413.0000000;73424.0000000;7154
SPFB.Si-9.20;1;14/08/20;10:15:00;73425.0000000;73444.0000000;73387.0000000;73440.0000000;8822
SPFB.Si-9.20;1;14/08/20;10:16:00;73439.0000000;73460.0000000;73382.0000000;73388.0000000;13808
SPFB.Si-9.20;1;14/08/20;10:17:00;73391.0000000;73395.0000000;73342.0000000;73357.0000000;11926
SPFB.Si-9.20;1;14/08/20;10:18:00;73358.0000000;73389.0000000;73345.0000000;73368.0000000;3839
SPFB.Si-9.20;1;14/08/20;10:19:00;73368.0000000;73395.0000000;73365.0000000;73372.0000000;2579
SPFB.Si-9.20;1;14/08/20;10:20:00;73371.0000000;73392.0000000;73362.0000000;73373.0000000;2003
SPFB.Si-9.20;1;14/08/20;10:21:00;73373.0000000;73410.0000000;73371.0000000;73410.0000000;5716
SPFB.Si-9.20;1;14/08/20;10:22:00;73409.0000000;73431.0000000;73390.0000000;73400.0000000;4774
SPFB.Si-9.20;1;14/08/20;10:23:00;73402.0000000;73412.0000000;73395.0000000;73395.0000000;1481
SPFB.Si-9.20;1;14/08/20;10:24:00;73399.0000000;73413.0000000;73392.0000000;73412.0000000;2378
