<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.SBRF-3.21;1;01/12/20;10:00:00;25230.0000000;25290.0000000;25230.0000000;25262.0000000;55
SPFB.SBRF-3.21;1;01/12/20;10:02:00;25262.0000000;25262.0000000;25262.0000000;25262.0000000;36
SPFB.SBRF-3.21;1;01/12/20;10:04:00;25283.0000000;25283.0000000;25283.0000000;25283.0000000;10
SPFB.SBRF-3.21;1;01/12/20;10:05:00;25293.0000000;25300.0000000;25293.0000000;25300.0000000;24
SPFB.SBRF-3.21;1;01/12/20;10:06:00;25300.0000000;25302.0000000;25300.0000000;25302.0000000;34
SPFB.SBRF-3.21;1;01/12/20;10:10:00;25230.0000000;25230.0000000;25230.0000000;25230.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:11:00;25237.0000000;25237.0000000;25200.0000000;25200.0000000;72
SPFB.SBRF-3.21;1;01/12/20;10:13:00;25200.0000000;25200.0000000;25187.0000000;25187.0000000;7
SPFB.SBRF-3.21;1;01/12/20;10:14:00;25188.0000000;25194.0000000;25188.0000000;25194.0000000;2
SPFB.SBRF-3.21;1;01/12/20;10:15:00;25215.0000000;25241.0000000;25206.0000000;25206.0000000;64
SPFB.SBRF-3.21;1;01/12/20;10:17:00;25200.0000000;25200.0000000;25200.0000000;25200.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:23:00;25255.0000000;25255.0000000;25255.0000000;25255.0000000;17
SPFB.SBRF-3.21;1;01/12/20;10:27:00;25250.0000000;25250.0000000;25250.0000000;25250.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:29:00;25255.0000000;25255.0000000;25255.0000000;25255.0000000;33
SPFB.SBRF-3.21;1;01/12/20;10:31:00;25260.0000000;25260.0000000;25260.0000000;25260.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:34:00;25260.0000000;25260.0000000;25260.0000000;25260.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:36:00;25260.0000000;25260.0000000;25260.0000000;25260.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:41:00;25240.0000000;25240.0000000;25240.0000000;25240.0000000;8
SPFB.SBRF-3.21;1;01/12/20;10:47:00;25284.0000000;25321.0000000;25284.0000000;25321.0000000;10
SPFB.SBRF-3.21;1;01/12/20;10:49:00;25321.0000000;25321.0000000;25321.0000000;25321.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:51:00;25350.0000000;25350.0000000;25350.0000000;25350.0000000;18
SPFB.SBRF-3.21;1;01/12/20;10:53:00;25335.0000000;25335.0000000;25335.0000000;25335.0000000;2
SPFB.SBRF-3.21;1;01/12/20;10:54:00;25322.0000000;25322.0000000;25322.0000000;25322.0000000;2
SPFB.SBRF-3.21;1;01/12/20;10:55:00;25334.0000000;25334.0000000;25334.0000000;25334.0000000;1
SPFB.SBRF-3.21;1;01/12/20;10:56:00;25354.0000000;25355.0000000;25354.0000000;25355.0000000;51
SPFB.SBRF-3.21;1;01/12/20;10:57:00;25370.0000000;25372.0000000;25370.0000000;25372.0000000;3
SPFB.SBRF-3.21;1;01/12/20;10:58:00;25369.0000000;25369.0000000;25369.0000000;25369.0000000;10
SPFB.SBRF-3.21;1;01/12/20;10:59:00;25381.0000000;25450.0000000;25381.0000000;25450.0000000;97
SPFB.SBRF-3.21;1;01/12/20;11:00:00;25456.0000000;25575.0000000;25456.0000000;25574.0000000;162
SPFB.SBRF-3.21;1;01/12/20;11:01:00;25575.0000000;25597.0000000;25533.0000000;25537.0000000;57
SPFB.SBRF-3.21;1;01/12/20;11:02:00;25522.0000000;25564.0000000;25488.0000000;25564.0000000;62
SPFB.SBRF-3.21;1;01/12/20;11:03:00;25554.0000000;25575.0000000;25554.0000000;25575.0000000;100
SPFB.SBRF-3.21;1;01/12/20;11:04:00;25562.0000000;25586.0000000;25552.0000000;25586.0000000;8
SPFB.SBRF-3.21;1;01/12/20;11:05:00;25589.0000000;25626.0000000;25562.0000000;25562.0000000;93
SPFB.SBRF-3.21;1;01/12/20;11:06:00;25545.0000000;25550.0000000;25545.0000000;25550.0000000;7
SPFB.SBRF-3.21;1;01/12/20;11:07:00;25552.0000000;25552.0000000;25522.0000000;25522.0000000;71
SPFB.SBRF-3.21;1;01/12/20;11:09:00;25534.0000000;25540.0000000;25534.0000000;25540.0000000;2
SPFB.SBRF-3.21;1;01/12/20;11:10:00;25504.0000000;25504.0000000;25500.0000000;25500.0000000;2
SPFB.SBRF-3.21;1;01/12/20;11:11:00;25524.0000000;25524.0000000;25517.0000000;25517.0000000;3
SPFB.SBRF-3.21;1;01/12/20;11:12:00;25517.0000000;25528.0000000;25517.0000000;25528.0000000;51
SPFB.SBRF-3.21;1;01/12/20;11:13:00;25535.0000000;25535.0000000;25535.0000000;25535.0000000;10
SPFB.SBRF-3.21;1;01/12/20;11:14:00;25500.0000000;25500.0000000;25483.0000000;25483.0000000;15
SPFB.SBRF-3.21;1;01/12/20;11:16:00;25507.0000000;25507.0000000;25503.0000000;25503.0000000;10
SPFB.SBRF-3.21;1;01/12/20;11:17:00;25550.0000000;25552.0000000;25550.0000000;25552.0000000;6
SPFB.SBRF-3.21;1;01/12/20;11:18:00;25569.0000000;25569.0000000;25569.0000000;25569.0000000;2
SPFB.SBRF-3.21;1;01/12/20;11:19:00;25574.0000000;25597.0000000;25574.0000000;25590.0000000;11
SPFB.SBRF-3.21;1;01/12/20;11:20:00;25590.0000000;25628.0000000;25590.0000000;25609.0000000;36
SPFB.SBRF-3.21;1;01/12/20;11:21:00;25600.0000000;25600.0000000;25583.0000000;25583.0000000;11
SPFB.SBRF-3.21;1;01/12/20;11:23:00;25588.0000000;25588.0000000;25588.0000000;25588.0000000;1
SPFB.SBRF-3.21;1;01/12/20;11:24:00;25629.0000000;25633.0000000;25629.0000000;25633.0000000;11
