<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.21,1,01/12/20,10:00:00,77130.0000000,77175.0000000,76979.0000000,77103.0000000,971
SPFB.Si-3.21,1,01/12/20,10:01:00,77077.0000000,77090.0000000,77040.0000000,77086.0000000,431
SPFB.Si-3.21,1,01/12/20,10:02:00,77069.0000000,77106.0000000,77055.0000000,77092.0000000,125
SPFB.Si-3.21,1,01/12/20,10:03:00,77111.0000000,77150.0000000,77102.0000000,77150.0000000,144
SPFB.Si-3.21,1,01/12/20,10:04:00,77149.0000000,77220.0000000,77142.0000000,77220.0000000,96
SPFB.Si-3.21,1,01/12/20,10:05:00,77194.0000000,77211.0000000,77179.0000000,77181.0000000,380
SPFB.Si-3.21,1,01/12/20,10:06:00,77192.0000000,77192.0000000,77170.0000000,77172.0000000,30
SPFB.Si-3.21,1,01/12/20,10:07:00,77182.0000000,77185.0000000,77170.0000000,77170.0000000,37
SPFB.Si-3.21,1,01/12/20,10:08:00,77175.0000000,77188.0000000,77150.0000000,77150.0000000,34
SPFB.Si-3.21,1,01/12/20,10:09:00,77158.0000000,77211.0000000,77158.0000000,77196.0000000,47
SPFB.Si-3.21,1,01/12/20,10:10:00,77195.0000000,77200.0000000,77168.0000000,77168.0000000,32
SPFB.Si-3.21,1,01/12/20,10:11:00,77185.0000000,77188.0000000,77171.0000000,77180.0000000,70
SPFB.Si-3.21,1,01/12/20,10:12:00,77178.0000000,77178.0000000,77130.0000000,77133.0000000,69
SPFB.Si-3.21,1,01/12/20,10:13:00,77129.0000000,77160.0000000,77129.0000000,77160.0000000,35
SPFB.Si-3.21,1,01/12/20,10:14:00,77165.0000000,77165.0000000,77140.0000000,77140.0000000,81
SPFB.Si-3.21,1,01/12/20,10:15:00,77140.0000000,77150.0000000,77140.0000000,77150.0000000,53
SPFB.Si-3.21,1,01/12/20,10:16:00,77155.0000000,77158.0000000,77131.0000000,77138.0000000,118
SPFB.Si-3.21,1,01/12/20,10:17:00,77140.0000000,77140.0000000,77120.0000000,77125.0000000,65
SPFB.Si-3.21,1,01/12/20,10:18:00,77110.0000000,77115.0000000,77090.0000000,77095.0000000,70
SPFB.Si-3.21,1,01/12/20,10:19:00,77090.0000000,77093.0000000,77075.0000000,77093.0000000,92
SPFB.Si-3.21,1,01/12/20,10:20:00,77096.0000000,77096.0000000,77058.0000000,77059.0000000,110
SPFB.Si-3.21,1,01/12/20,10:21:00,77058.0000000,77082.0000000,77055.0000000,77060.0000000,40
SPFB.Si-3.21,1,01/12/20,10:22:00,77055.0000000,77062.0000000,77041.0000000,77041.0000000,79
SPFB.Si-3.21,1,01/12/20,10:23:00,77048.0000000,77056.0000000,77046.0000000,77053.0000000,37
SPFB.Si-3.21,1,01/12/20,10:24:00,77052.0000000,77064.0000000,77052.0000000,77064.0000000,33
SPFB.Si-3.21,1,01/12/20,10:25:00,77059.0000000,77060.0000000,77057.0000000,77060.0000000,11
SPFB.Si-3.21,1,01/12/20,10:26:00,77088.0000000,77088.0000000,77058.0000000,77074.0000000,171
SPFB.Si-3.21,1,01/12/20,10:27:00,77071.0000000,77088.0000000,77071.0000000,77071.0000000,112
SPFB.Si-3.21,1,01/12/20,10:28:00,77076.0000000,77085.0000000,77070.0000000,77070.0000000,27
SPFB.Si-3.21,1,01/12/20,10:29:00,77085.0000000,77096.0000000,77085.0000000,77092.0000000,29
SPFB.Si-3.21,1,01/12/20,10:30:00,77095.0000000,77101.0000000,77085.0000000,77101.0000000,12
SPFB.Si-3.21,1,01/12/20,10:31:00,77085.0000000,77108.0000000,77083.0000000,77108.0000000,53
SPFB.Si-3.21,1,01/12/20,10:32:00,77095.0000000,77098.0000000,77090.0000000,77098.0000000,54
SPFB.Si-3.21,1,01/12/20,10:33:00,77110.0000000,77125.0000000,77110.0000000,77119.0000000,86
SPFB.Si-3.21,1,01/12/20,10:34:00,77133.0000000,77136.0000000,77120.0000000,77120.0000000,37
SPFB.Si-3.21,1,01/12/20,10:35:00,77136.0000000,77145.0000000,77122.0000000,77145.0000000,46
SPFB.Si-3.21,1,01/12/20,10:36:00,77145.0000000,77160.0000000,77145.0000000,77148.0000000,147
SPFB.Si-3.21,1,01/12/20,10:37:00,77129.0000000,77134.0000000,77126.0000000,77126.0000000,139
SPFB.Si-3.21,1,01/12/20,10:38:00,77120.0000000,77120.0000000,77118.0000000,77118.0000000,10
SPFB.Si-3.21,1,01/12/20,10:39:00,77120.0000000,77120.0000000,77110.0000000,77110.0000000,174
SPFB.Si-3.21,1,01/12/20,10:40:00,77114.0000000,77117.0000000,77095.0000000,77095.0000000,63
SPFB.Si-3.21,1,01/12/20,10:41:00,77104.0000000,77104.0000000,77104.0000000,77104.0000000,10
SPFB.Si-3.21,1,01/12/20,10:42:00,77107.0000000,77107.0000000,77107.0000000,77107.0000000,5
SPFB.Si-3.21,1,01/12/20,10:43:00,77099.0000000,77123.0000000,77099.0000000,77123.0000000,28
SPFB.Si-3.21,1,01/12/20,10:44:00,77119.0000000,77122.0000000,77108.0000000,77108.0000000,13
SPFB.Si-3.21,1,01/12/20,10:45:00,77140.0000000,77143.0000000,77123.0000000,77123.0000000,200
SPFB.Si-3.21,1,01/12/20,10:46:00,77120.0000000,77121.0000000,77113.0000000,77121.0000000,109
SPFB.Si-3.21,1,01/12/20,10:47:00,77110.0000000,77110.0000000,77110.0000000,77110.0000000,50
SPFB.Si-3.21,1,01/12/20,10:48:00,77098.0000000,77104.0000000,77098.0000000,77100.0000000,28
SPFB.Si-3.21,1,01/12/20,10:49:00,77100.0000000,77115.0000000,77100.0000000,77115.0000000,5
SPFB.Si-3.21,1,01/12/20,10:50:00,77123.0000000,77123.0000000,77123.0000000,77123.0000000,10
SPFB.Si-3.21,1,01/12/20,10:51:00,77111.0000000,77112.0000000,77090.0000000,77090.0000000,39
SPFB.Si-3.21,1,01/12/20,10:52:00,77090.0000000,77099.0000000,77090.0000000,77099.0000000,16
SPFB.Si-3.21,1,01/12/20,10:53:00,77088.0000000,77088.0000000,77076.0000000,77080.0000000,149
SPFB.Si-3.21,1,01/12/20,10:54:00,77090.0000000,77091.0000000,77084.0000000,77086.0000000,33
SPFB.Si-3.21,1,01/12/20,10:55:00,77076.0000000,77100.0000000,77070.0000000,77095.0000000,102
SPFB.Si-3.21,1,01/12/20,10:56:00,77093.0000000,77110.0000000,77093.0000000,77110.0000000,77
SPFB.Si-3.21,1,01/12/20,10:57:00,77126.0000000,77130.0000000,77126.0000000,77130.0000000,55
SPFB.Si-3.21,1,01/12/20,10:58:00,77135.0000000,77146.0000000,77135.0000000,77146.0000000,239
SPFB.Si-3.21,1,01/12/20,10:59:00,77150.0000000,77165.0000000,77150.0000000,77162.0000000,290
SPFB.Si-3.21,1,01/12/20,11:00:00,77170.0000000,77200.0000000,77159.0000000,77190.0000000,90
SPFB.Si-3.21,1,01/12/20,11:01:00,77202.0000000,77239.0000000,77201.0000000,77205.0000000,77
SPFB.Si-3.21,1,01/12/20,11:02:00,77207.0000000,77227.0000000,77200.0000000,77200.0000000,93
SPFB.Si-3.21,1,01/12/20,11:03:00,77195.0000000,77195.0000000,77190.0000000,77194.0000000,53
SPFB.Si-3.21,1,01/12/20,11:04:00,77180.0000000,77190.0000000,77167.0000000,77167.0000000,84
SPFB.Si-3.21,1,01/12/20,11:05:00,77164.0000000,77190.0000000,77164.0000000,77184.0000000,17
SPFB.Si-3.21,1,01/12/20,11:06:00,77171.0000000,77177.0000000,77148.0000000,77177.0000000,88
SPFB.Si-3.21,1,01/12/20,11:07:00,77185.0000000,77185.0000000,77179.0000000,77179.0000000,6
SPFB.Si-3.21,1,01/12/20,11:09:00,77177.0000000,77177.0000000,77167.0000000,77168.0000000,35
SPFB.Si-3.21,1,01/12/20,11:10:00,77169.0000000,77170.0000000,77159.0000000,77159.0000000,28
SPFB.Si-3.21,1,01/12/20,11:11:00,77168.0000000,77169.0000000,77168.0000000,77169.0000000,5
SPFB.Si-3.21,1,01/12/20,11:12:00,77168.0000000,77175.0000000,77168.0000000,77175.0000000,40
