<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.21;1;17/02/21;10:00:00;73886.0000000;74124.0000000;73886.0000000;74108.0000000;34291
SPFB.Si-3.21;1;17/02/21;10:01:00;74109.0000000;74120.0000000;74063.0000000;74070.0000000;14079
SPFB.Si-3.21;1;17/02/21;10:02:00;74070.0000000;74077.0000000;74031.0000000;74054.0000000;13444
SPFB.Si-3.21;1;17/02/21;10:03:00;74055.0000000;74085.0000000;74051.0000000;74065.0000000;13496
SPFB.Si-3.21;1;17/02/21;10:04:00;74065.0000000;74074.0000000;74041.0000000;74051.0000000;7524
SPFB.Si-3.21;1;17/02/21;10:05:00;74052.0000000;74070.0000000;73996.0000000;74011.0000000;19085
SPFB.Si-3.21;1;17/02/21;10:06:00;74014.0000000;74034.0000000;74003.0000000;74016.0000000;7488
SPFB.Si-3.21;1;17/02/21;10:07:00;74014.0000000;74015.0000000;73969.0000000;73994.0000000;9217
SPFB.Si-3.21;1;17/02/21;10:08:00;73997.0000000;73997.0000000;73979.0000000;73987.0000000;9055
SPFB.Si-3.21;1;17/02/21;10:09:00;73986.0000000;73987.0000000;73942.0000000;73966.0000000;9296
SPFB.Si-3.21;1;17/02/21;10:10:00;73967.0000000;73971.0000000;73930.0000000;73944.0000000;10501
SPFB.Si-3.21;1;17/02/21;10:11:00;73941.0000000;73949.0000000;73927.0000000;73937.0000000;14352
SPFB.Si-3.21;1;17/02/21;10:12:00;73936.0000000;73948.0000000;73931.0000000;73939.0000000;7008
SPFB.Si-3.21;1;17/02/21;10:13:00;73937.0000000;73938.0000000;73882.0000000;73889.0000000;20561
SPFB.Si-3.21;1;17/02/21;10:14:00;73888.0000000;73903.0000000;73841.0000000;73900.0000000;24079
SPFB.Si-3.21;1;17/02/21;10:15:00;73898.0000000;73926.0000000;73886.0000000;73914.0000000;9754
SPFB.Si-3.21;1;17/02/21;10:16:00;73914.0000000;73962.0000000;73909.0000000;73961.0000000;11352
SPFB.Si-3.21;1;17/02/21;10:17:00;73959.0000000;73977.0000000;73956.0000000;73960.0000000;10714
SPFB.Si-3.21;1;17/02/21;10:18:00;73961.0000000;73979.0000000;73957.0000000;73964.0000000;3868
SPFB.Si-3.21;1;17/02/21;10:19:00;73962.0000000;73980.0000000;73960.0000000;73975.0000000;2941
SPFB.Si-3.21;1;17/02/21;10:20:00;73974.0000000;73988.0000000;73960.0000000;73977.0000000;5320
SPFB.Si-3.21;1;17/02/21;10:21:00;73976.0000000;73981.0000000;73930.0000000;73946.0000000;6999
SPFB.Si-3.21;1;17/02/21;10:22:00;73946.0000000;73967.0000000;73934.0000000;73955.0000000;6130
SPFB.Si-3.21;1;17/02/21;10:23:00;73953.0000000;73984.0000000;73953.0000000;73966.0000000;3917
SPFB.Si-3.21;1;17/02/21;10:24:00;73965.0000000;73985.0000000;73960.0000000;73977.0000000;2478
SPFB.Si-3.21;1;17/02/21;10:25:00;73976.0000000;74007.0000000;73966.0000000;73992.0000000;6284
SPFB.Si-3.21;1;17/02/21;10:26:00;73995.0000000;74012.0000000;73988.0000000;73991.0000000;5314
SPFB.Si-3.21;1;17/02/21;10:27:00;73993.0000000;74005.0000000;73983.0000000;73985.0000000;2721
SPFB.Si-3.21;1;17/02/21;10:28:00;73988.0000000;74012.0000000;73982.0000000;74005.0000000;2823
SPFB.Si-3.21;1;17/02/21;10:29:00;74005.0000000;74035.0000000;74001.0000000;74030.0000000;8247
SPFB.Si-3.21;1;17/02/21;10:30:00;74033.0000000;74044.0000000;74018.0000000;74029.0000000;8385
SPFB.Si-3.21;1;17/02/21;10:31:00;74027.0000000;74045.0000000;74026.0000000;74029.0000000;4957
SPFB.Si-3.21;1;17/02/21;10:32:00;74029.0000000;74031.0000000;74008.0000000;74021.0000000;2131
SPFB.Si-3.21;1;17/02/21;10:33:00;74022.0000000;74039.0000000;74012.0000000;74035.0000000;3269
SPFB.Si-3.21;1;17/02/21;10:34:00;74035.0000000;74035.0000000;74015.0000000;74015.0000000;1131
SPFB.Si-3.21;1;17/02/21;10:35:00;74014.0000000;74035.0000000;74010.0000000;74018.0000000;5047
SPFB.Si-3.21;1;17/02/21;10:36:00;74016.0000000;74023.0000000;73983.0000000;73997.0000000;8432
SPFB.Si-3.21;1;17/02/21;10:37:00;73999.0000000;74021.0000000;73985.0000000;74019.0000000;5255
SPFB.Si-3.21;1;17/02/21;10:38:00;74019.0000000;74024.0000000;73990.0000000;74007.0000000;6580
SPFB.Si-3.21;1;17/02/21;10:39:00;74007.0000000;74011.0000000;73983.0000000;73999.0000000;2575
SPFB.Si-3.21;1;17/02/21;10:40:00;73996.0000000;74013.0000000;73988.0000000;73990.0000000;2881
SPFB.Si-3.21;1;17/02/21;10:41:00;73994.0000000;73994.0000000;73962.0000000;73972.0000000;8802
SPFB.Si-3.21;1;17/02/21;10:42:00;73972.0000000;73975.0000000;73953.0000000;73960.0000000;5459
SPFB.Si-3.21;1;17/02/21;10:43:00;73960.0000000;73966.0000000;73955.0000000;73960.0000000;1651
SPFB.Si-3.21;1;17/02/21;10:44:00;73960.0000000;73966.0000000;73938.0000000;73951.0000000;26091
SPFB.Si-3.21;1;17/02/21;10:45:00;73952.0000000;73967.0000000;73945.0000000;73962.0000000;4128
SPFB.Si-3.21;1;17/02/21;10:46:00;73963.0000000;73970.0000000;73957.0000000;73969.0000000;1669
SPFB.Si-3.21;1;17/02/21;10:47:00;73966.0000000;73990.0000000;73966.0000000;73980.0000000;5296
SPFB.Si-3.21;1;17/02/21;10:48:00;73977.0000000;73981.0000000;73965.0000000;73976.0000000;3879
SPFB.Si-3.21;1;17/02/21;10:49:00;73976.0000000;73995.0000000;73961.0000000;73987.0000000;2884
SPFB.Si-3.21;1;17/02/21;10:50:00;73985.0000000;73992.0000000;73974.0000000;73990.0000000;5949
SPFB.Si-3.21;1;17/02/21;10:51:00;73989.0000000;74007.0000000;73986.0000000;73998.0000000;5981
SPFB.Si-3.21;1;17/02/21;10:52:00;74002.0000000;74009.0000000;73960.0000000;73960.0000000;15482
SPFB.Si-3.21;1;17/02/21;10:53:00;73960.0000000;73964.0000000;73951.0000000;73954.0000000;7136
SPFB.Si-3.21;1;17/02/21;10:54:00;73952.0000000;73990.0000000;73943.0000000;73985.0000000;4976
SPFB.Si-3.21;1;17/02/21;10:55:00;73987.0000000;73990.0000000;73951.0000000;73980.0000000;28555
SPFB.Si-3.21;1;17/02/21;10:56:00;73978.0000000;73980.0000000;73956.0000000;73978.0000000;3150
SPFB.Si-3.21;1;17/02/21;10:57:00;73977.0000000;73985.0000000;73969.0000000;73980.0000000;4918
SPFB.Si-3.21;1;17/02/21;10:58:00;73977.0000000;74018.0000000;73962.0000000;74010.0000000;7677
SPFB.Si-3.21;1;17/02/21;10:59:00;74010.0000000;74031.0000000;74002.0000000;74024.0000000;8971
SPFB.Si-3.21;1;17/02/21;11:00:00;74024.0000000;74038.0000000;74010.0000000;74019.0000000;7118
SPFB.Si-3.21;1;17/02/21;11:01:00;74017.0000000;74023.0000000;74002.0000000;74017.0000000;7002
SPFB.Si-3.21;1;17/02/21;11:02:00;74016.0000000;74030.0000000;74007.0000000;74020.0000000;5350
SPFB.Si-3.21;1;17/02/21;11:03:00;74022.0000000;74078.0000000;74020.0000000;74076.0000000;13205
SPFB.Si-3.21;1;17/02/21;11:04:00;74076.0000000;74087.0000000;74068.0000000;74077.0000000;6642
SPFB.Si-3.21;1;17/02/21;11:05:00;74075.0000000;74087.0000000;74055.0000000;74064.0000000;4612
SPFB.Si-3.21;1;17/02/21;11:06:00;74065.0000000;74076.0000000;74053.0000000;74055.0000000;8033
SPFB.Si-3.21;1;17/02/21;11:07:00;74057.0000000;74057.0000000;74034.0000000;74037.0000000;5345
SPFB.Si-3.21;1;17/02/21;11:08:00;74036.0000000;74053.0000000;74033.0000000;74045.0000000;3921
